,Vehicle_ID,Frame_ID,Global_Time,Local_X,Local_Y,v_Vel,v_Acc,Lane_ID,Preceding,Following,Phi,v_Vel_X,v_Vel_Y,v_Acc_X,v_Acc_Y,Distance_l,Distance_r,Sur
0,1,270,1118847869000,51.164,112.878,19.89,0.0,5.0,0.0,0.0,0.0,0.0,19.89,0.0,0.0,1.1640000000000015,8.835999999999999,0
1,1,271,1118847869100,51.153,114.878,19.89,0.0,5.0,0.0,0.0,0.005499944542674606,0.10939334543819047,19.88969917057505,0.0,0.0,1.1529999999999987,8.847000000000001,0
2,1,272,1118847869200,51.143,116.878,19.89,0.0,5.0,0.0,0.0,0.004999958333957328,0.09944875689828833,19.88975137966162,0.0,0.0,1.1430000000000007,8.857,0
3,1,273,1118847869300,51.244,118.815,19.89,0.0,5.0,0.0,0.0,0.052095309644417685,1.0357070892029592,19.863016156298485,0.0,0.0,1.2439999999999998,8.756,0
4,1,274,1118847869400,51.234,120.814,19.89,1.07,5.0,0.0,0.0,0.005002459522021664,0.09949850490673064,19.889751130859363,0.005352609364012156,1.0699866118662404,1.2340000000000018,8.765999999999998,0
5,1,275,1118847869500,51.23,122.81,19.97,0.6,5.0,0.0,0.0,0.0020040053333100875,0.04001995971924756,19.96995989988022,0.001202402395170182,0.5999987951891904,1.2299999999999969,8.770000000000003,0
6,1,276,1118847869600,51.213,124.815,20.0,0.0,5.0,0.0,0.0,0.008478599820614708,0.16956996475899827,19.999281137757215,0.0,0.0,1.213000000000001,8.786999999999999,0
7,1,277,1118847869700,51.203,126.832,19.86,-2.42,5.0,0.0,0.0,0.004957817583876939,0.09846185384997995,19.859755921544867,-0.011997869401659188,-2.419970258315135,1.203000000000003,8.796999999999997,0
8,1,278,1118847869800,51.192,128.85299999999998,19.18,-9.79,5.0,0.0,0.0,0.005442796327727939,0.10439231814381397,19.17971590623575,-0.053284712962874806,-9.789854990722,1.1920000000000002,8.808,0
9,1,279,1118847869900,51.182,130.724,18.17,-11.2,5.0,0.0,0.0,0.005344684543545552,0.09711245580789818,18.169740481661453,-0.0598601818958976,-11.199840032724724,1.1820000000000022,8.817999999999998,0
